36,77
213,270
784,852
2317,2357
5293,5348
6903,6940
8800,8895
8997,9073
9086,9179
9901,10044
27724,28280
29053,29267
29773,30107
32272,32625
33633,33836
34097,34495
34729,34785
34942,35061
35126,35596
35612,35738
36312,36425
36516,36546
36656,36674
36782,36906
37605,37746
39635,39832
41928,42044
42416,42591
43290,43579
43614,44328
44496,44643
44758,44923
44960,45120
45147,45534
45607,46042
46107,46133
46157,46351
47724,48244
50457,50997
51249,51461
51480,51938
52127,52934
53471,53666
53697,53764
54047,54215
54327,54442
54799,54863
54902,57239
57258,57694
57721,57762
58483,58589
58784,58928
59150,59519
59588,59957
59988,60063
60162,60244
60291,60411
60447,60551
60774,60824
61079,61288
61311,61447
61946,62096
62418,62475
63135,63236
68129,68300
68612,69088
75360,75476
